evet	yes
istemek	to want
tanımak	to know (person)
geç kalmak<br />[sound:ee9423c5913558184f270ead66196997.mp3][sound:2fd2f12e871e1153acd83753b5869345.mp3]	to be late
beklediniz mi	did you (pl.) wait?
önemli	important
yolculuk	journey
nasıldı	how was?
geçti	it passed
çabuk	quickly
seyretmek	to watch
seyrettim	I watched
dinledim<br />[sound:62a89d23a453e4720b6d91dc2b404a6c.mp3]	I listened
uyudum	I slept
uçak	aeroplane
durmak	to stop
durdu	we stopped
beklemek	to wait
falan<br />[sound:2b4de5c659ebb70d79e67cc5b702967e.mp3]	roughly (approximately)
çerez	nibbles (noun)
bırakmak<br>[sound:f2e792f00cf829b5854bdd169514120b.mp3]	to cease
acele<br />[sound:50b38957b9a3757e97d359f70d1abc87.mp3]	hurry
halı<br />[sound:afad6001ccd2921d82ed7c5e267927c0.mp3]	carpet
özel<br />[sound:d11d93f10fc0ee2c27ccff2ebd3f460c.mp3]	special,unique,private,personal
pazarlık yapmak<br />[sound:6f8d2acf1e5044634615c0ef0923f69d.mp3]<br />[sound:08f30b8281b0ba2f1d878eb364f5a188.mp3]	to haggle
başlamak<br />[sound:522e24176d0c41d07338047c166280bb.mp3]	to start
kız	girl
akşam yemeği	evening meal
ders	lesson
kütüphane<br>[sound:da2f71b3cad8f453ffee92d000b8e879.mp3]	library
kalkmak<br />[sound:7c3d2164c04bda3304dcfa1caba9305a.mp3]	to get up
yatmak	to go to bed
ilk yardım	first aid
kalabalık	crowded
anne	mother
hasta	ill
sade	plain
resim	picture
iş	work
ilginç	interesting
siyah	black
hazır	ready
çalışmak	to work
yorgun	tired
haber	news
aramak	to phone/seek
sormak	to ask
etmek	to repeat
affetmek	to forgive
tam	exactly
satmak	to sell
sarı	yellow
getirmek	to bring
orta	middle
hiç	any
öğle yemeği 	lunch
pazar	Sunday
otuz	thirty
unutmak	to forget
cüzdan	purse/wallet
meşgul	busy
keşfetmek	to discover
muz	banana
kardeş	sibling
sıkıcı<br />[sound:1461e31deed3fe0de39bed48c88dc8ce.mp3]	boring
ağlamak	to cry
memur	offical (person)
bitmek	to finish
elli	fifty
girmek	to enter
sarhoş	drunk
atmak	to throw
çımen	grass
yetmiş	seventy
hadi	OK
kutu	box
kaybetmek	to lose
anahtar	key
yavaş	slowly
bakkal	grocer
ekmek	bread
salam	salami
sucuk	garlic sausage
güzel	nice
yeşil	green
zeytin	olive
bir	one
iki	two
uç	three
dört	four
beş	five
altı	six
yedi	seven
sekiz	eight
dokuz	nine
on	ten
beyaz	white
memnun	happy
sıcak	hot
soğuk	cold
büyük	big
küçük	small
boş	free
zor	difficult
kolay	easy
değil	not
sıfır	zero
bira	beer
şişe	bottle
viski	whiskey
patates	potato
için	for
oda	room
kuaför	hairdresser
yarım	half
süt	milk
taze	fresh
maalesef	unfortunately
tamam	ok
hepsi	everything
bin	thousand
ad	name
milliyet	nationality
kim?	who?
ne?	what?
nerede?	where?
ne zaman?	what time?
nasıl?	how?
kaç tane?	how many?
uzun	long
eş	spouse
kişi	person
kısa	short
ama	but
pahalı	expensive
kapalı	closed
fena	bad
açık	open
ucuz	cheap
şarap	wine
saç	hair
ev	house
sef	boss
bay	male
bayan	female
soyad	surname
doğum	birth
tarih	date
meslek	profession
gelis	arrival
gidiş	departure
piliç	chicken
aynı	same
masa	table
köşe	corner
önce	firstly
ve	and
buz	ice
hemen	staight away
kavun	melon
patlıcan	aubergine
yeter	enough
daha	more
şerefe	cheers
gelmek	to come
yapmak	to do/make
koymak	to put
gülmek	to smile
oturmak	to sit
kitap	book
dolap	cupboard
sokak	road
raf	shelf
kazak	coat
mutfak	kitchen
vermek	to give
içmek	to drink
yemek	to eat
erken	early
para	money
tuz	salt
kullanmak	to use
kedi	cat
mutlu	happy
aile	family
meydan	square
sol	left
sağ	right
dönmek	to turn
cami	mosque
düz	straight
lokanta	restaurant
uzak	far away
fabrika	factory
halk	folk
yol	way
yaya	pedestrian
dondurma	icecream
canım	darling
şeker	sugar
hesap	bill
de	also
bilmek	to know
konuşmak	to speak
mavi	blue
dakika	minute
sevmek	to like
hemen hemen	almost
şaka	joke
dükkan	shop
araba	car
yarın	tomorrow
geçmek	to pass
koşmak	to run
müdür	director
duş	shower
kibrit	match
manzara	view
cadde	street
hastane	hospital
hamam	turkish bath
başkent	capital
kirli	dirty
baba	father
oğul	son
dil	language, tongue
teyze	aunt
bugün[sound:b521acea3742c368a6ae015bef380238.mp3]	today
kuzen	cousin
torun	grandchild
yaşında	years old
bütün	whole
olmak	to be, become
lüks	first class
kahverengi	brown
domates	tomato
havuç	carrot
portakal	orange
turuncu	orange (colour)
böyle	like this
o zaman	in that case
en son	last
fiyat	price
fiş	VAT receipt
oldu	OK
rakı	raki (liquor)
zengin	rich
saat	hour
buçuk	half past
maden	mineral
binmek	to board
-e aşık olmak	to love
-den bıkmak	to get fed up
-den inmek	to get out of
-den nefret etmek	to hate
hediye	present
durak	stop
çorba	soup
çöp[sound:3a8d8c4a7ebe291bf48416da027428a4.mp3]	rubbish
batmak	to sink
komik	funny
ünlü	famous
müze	museum
bakanlık	ministry
giriş	entry
bağırmak	to shout
-e sormak	to ask (with OBJECT's case)
-den korkmak	to be afraid of
galiba	presumably
tekrar	Again (for instance, as in: Thanks again)
görüşmek üzere	See you soon <br />(a possible closing for a letter)
sevgili	Dear ____<br />(opening for a letter)